ds,y,hour,is_weekend,instances_count,instances
2025-11-14 03:15:00,0.3249268809161973,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:16:00,0.32557320797789885,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:17:00,0.32547682089281466,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:18:00,0.32571057944191767,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:19:00,0.32575400471876653,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:20:00,0.3259875362075985,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:21:00,0.3263429422969462,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:22:00,0.32498415686958365,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:23:00,0.32446958153019095,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:24:00,0.3243940839900484,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:25:00,0.3262675582869392,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:26:00,0.3264138418665989,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:27:00,0.3256360469079273,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:28:00,0.32535102950262224,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:29:00,0.3252908017657115,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:30:00,0.32533502175350926,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:31:00,0.3255370486297253,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:32:00,0.32633385988610203,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:33:00,0.3267590870088147,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:34:00,0.32550741726434607,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:35:00,0.32551246935537814,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:36:00,0.3268295324579252,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:37:00,0.32552285736278125,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:38:00,0.3249406748276669,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:39:00,0.3251530329462183,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:40:00,0.3260693346702642,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:41:00,0.32645073916065354,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:42:00,0.3255136614218015,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:43:00,0.32492795945248504,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:44:00,0.32543203325433906,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:45:00,0.32518470785403747,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:46:00,0.325008679378863,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:47:00,0.3277143295693552,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:48:00,0.32766562514120307,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:49:00,0.3259994001067637,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:50:00,0.32568997372231484,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:51:00,0.3258993800573418,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:52:00,0.32657999321998027,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:53:00,0.32546495699364936,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:54:00,0.3265730678817116,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:55:00,0.32795785171011577,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:56:00,0.32603936271447825,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:57:00,0.32594496240676624,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:58:00,0.3252726369440231,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 03:59:00,0.32557996302096426,3,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 04:00:00,0.32531606222087195,4,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 04:01:00,0.32575406148383435,4,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 04:02:00,0.3263213148061235,4,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 04:03:00,0.3264407485087249,4,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 04:04:00,0.3255932460468239,4,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 04:05:00,0.3256141355917656,4,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 04:06:00,0.3257631438946786,4,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 04:07:00,0.32515019469282946,4,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 04:08:00,0.3247455732897196,4,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 04:09:00,0.3258865511520243,4,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 04:10:00,0.3255984116679916,4,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 04:11:00,0.3256215150505765,4,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 04:12:00,0.32560868614525906,4,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 04:13:00,0.3246423743965022,4,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-14 04:14:00,0.3247349582220454,4,0,6,"host01, host02, host03, master01, master02, rpi01"
